"symbol","title","url","date","content","author","publish_time"
"EID","EID: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/05/eid-bao-cao-tai-chinh-quy-1-2025-737-1305330.htm","06/05/2025","EID: Báo cáo tài chính quý 1/2025","",""
"EID","EID: Báo cáo tài chính quý 1/2025 (công ty mẹ)","https://vietstock.vn/2025/05/eid-bao-cao-tai-chinh-quy-1-2025-cong-ty-me-737-1304831.htm","05/05/2025","EID: Báo cáo tài chính quý 1/2025 (công ty mẹ)","",""
"EID","Lợi nhuận đạt đỉnh, đơn vị thành viên của NXB Giáo dục chia cổ tức cao nhất lịch sử","https://vietstock.vn/2025/04/loi-nhuan-dat-dinh-don-vi-thanh-vien-cua-nxb-giao-duc-chia-co-tuc-cao-nhat-lich-su-738-1296745.htm","17/04/2025","Lợi nhuận đạt đỉnh, đơn vị thành viên của NXB Giáo dục chia cổ tức cao nhất lịch sử
Với lợi nhuận ròng năm 2024 lập đỉnh hơn 75 tỷ đồng, CTCP Đầu tư và Phát triển Giáo dục Hà Nội (HNX:EID) chốt chia cổ tức bằng tiền mặt với tỷ lệ 20%, cao nhất từ trước đến nay.
EIDvừa thông báo chốt quyền chia cổ tức bằng tiền mặt năm 2024 cho cổ đông. Ngày giao dịch không hưởng quyền là 24/04.
Với tỷ lệ 20% (1 cp được nhận 2,000 đồng) và 15 triệu cp đang lưu hành,EIDcần chi 30 tỷ đồng để hoàn thành phương án chia cổ tức năm 2024 đã được ĐHĐCĐ thường niên 2025 thông qua. Thời gian thanh toán dự kiến từ 23/05.
[Chú thích ảnh]: Nguồn:VietstockFinance
Từ khi niêm yết trên sànHNX(năm 2009),EIDluôn duy trì trả cổ tức tiền mặt cho cổ đông với tỷ lệ dao động từ 12-18%. Riêng năm 2024,EIDnâng mức chi trả cổ tức lên 20%, cao hơn so với tỷ lệ 14% được ĐHĐCĐ thường niên 2024 giao. Đây cũng là mức cổ tức cao nhất lịch sử của Công ty.
Sở dĩ Công ty quyết định chi trả cổ tức với tỷ lệ cao nhất lịch sử là bởi vì năm 2024,EIDđạt doanh thu thuần gần 1,132 tỷ đồng và lãi ròng hơn 75 tỷ đồng, lần lượt tăng 9% và 5% so với năm trước. Đây đều là các con số cao kỷ lục trong lịch sử hoạt động của Công ty, đồng thời vượt xa kế hoạch đề ra.
[Chú thích ảnh]: Nguồn:VietstockFinance
Sang năm 2025,EIDđặt mục tiêu phát hành xuất bản phẩm giáo dục hơn 52 triệu bản. Tổng doanh thu và lợi nhuận trước thuế dự kiến đạt 942 tỷ đồng và 70 tỷ đồng. Tỷ lệ cổ tức 15%.
[Chú thích ảnh]: Nguồn:VietstockFinance
Cập nhật đến ngày 31/12/2024, Công tyTNHH MTVNhà xuất bản Giáo dục Việt Nam sở hữu 40.16% vốn tạiEID, ước nhận về hơn 12 tỷ đồng cổ tức 2024.
Bên cạnh đó, 2 cổ đông lớn cá nhân là ôngLê Xuân Lươngvà ông Dennis Peter Eric sẽ nhận về lần lượt hơn 4 tỷ đồng và 1.7 tỷ đồng cổ tức 2024 từEID, tương ứng tỷ lệ sở hữu 13.66% và 5.62%.","Khang Di","11:13 17/04/2025"
"EID","EID: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","https://vietstock.vn/2025/04/eid-ngay-dang-ky-cuoi-cung-tra-co-tuc-bang-tien-mat-737-1296275.htm","16/04/2025","EID: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuEIDcủa CTCP Đầu tư và Phát triển Giáo dục Hà Nội như sau:1. Ngày đăng ký cuối cùng: 25/04/20252. Ngày giao dịch không hưởng quyền: 24/04/20253. Lý do và mục đích:* Trả cổ tức bằng tiền:- Hình thức trả: Trả cổ tức bằng tiền năm 2024- Tỷ lệ thực hiện: 20%/cổ phiếu (01 cổ phiếu được nhận 2,000 đồng)- Thời gian thực hiện: 23/05/2025- Địa điểm thực hiện:+ Chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại phòng Kế toán – Tài vụ Công ty cổ phần Đầu tư và Phát triển giáo dục Hà Nội (tầng 4 – Tòa nhà VP HEID, ngõ 12 Láng Hạ, quận Ba Đình, Hà Nội) vào các ngày làm việc trong tuần bắt đầu từ ngày 23/05/2025 và xuất trình các giấy tờ pháp lý liên quan (CMND/CCCD/Hộ chiếu/Giấy CNĐKKD).+ Chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.","",""
"EID","EID: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/eid-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1295076.htm","14/04/2025","EID: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"EID","EID: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Lê Xuân Lương","https://vietstock.vn/2025/04/eid-bao-cao-thay-doi-so-huu-co-phieu-cua-co-dong-lon-le-xuan-luong-739-1294502.htm","11/04/2025","EID: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - Lê Xuân Lương
- Tên cá nhân thực hiện giao dịch:Lê Xuân Lương- Họ tên người có liên quan: Lê Thị Quý- Mối quan hệ: Vợ- Tỷ lệ nắm giữ: 2.51%- Mã chứng khoán:EID- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 2,094,300 CP (tỷ lệ 13.96%)- Số lượng cổ phiếu đã mua: 41,100 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 2,135,400 CP (tỷ lệ 14.24%)- Số lượng cổ phiếu nắm giữ của người có liên quan: 376,500 CP- Tỷ lệ cổ phiếu nắm giữ của người có liên quan: 2.51%- Số lượng cổ phiếu nắm giữ cùng người có liên quan: 2,511,900 CP- Tỷ lệ nắm giữ cùng người có liên quan: 16.75%- Lý do thay đổi sở hữu: Cổ đông lớn mua thêm cổ phiếu- Ngày giao dịch thay đổi tỷ lệ sở hữu: 03/04/2025.","",""
"EID","EID: Thay đổi nhân sự","https://vietstock.vn/2025/04/eid-thay-doi-nhan-su-214-1294335.htm","11/04/2025","EID: Thay đổi nhân sự","",""
"EID","EID: Thông báo ngày đăng kí cuối cùng để thực hiện quyền nhận cổ tức năm 2024 bằng tiền","https://vietstock.vn/2025/04/eid-thong-bao-ngay-dang-ki-cuoi-cung-de-thuc-hien-quyen-nhan-co-tuc-nam-2024-bang-tien-738-1294274.htm","11/04/2025","EID: Thông báo ngày đăng kí cuối cùng để thực hiện quyền nhận cổ tức năm 2024 bằng tiền
.","",""
"EID","EID: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/eid-bao-cao-thuong-nien-2024-737-1292952.htm","08/04/2025","EID: Báo cáo thường niên 2024","",""
"EID","EID: Đơn từ nhiệm của Thành viên Hội đồng quản trị và Trưởng Ban kiểm soát","https://vietstock.vn/2025/03/eid-don-tu-nhiem-cua-thanh-vien-hoi-dong-quan-tri-va-truong-ban-kiem-soat-214-1283829.htm","20/03/2025","EID: Đơn từ nhiệm của Thành viên Hội đồng quản trị và Trưởng Ban kiểm soát
.","",""
